# NextExplorer — Polski (pl). key<TAB>value.
common.cancel	Anuluj
tipJar.explanation	NextExplorer jest darmowy i open source. Jeśli jest dla Ciebie przydatny, mały napiwek pomoże go utrzymać. Dziękuję!
tipJar.toastThanks	Dziękuję za wsparcie projektu! 🙏
tipJar.errorLoad	Nie udało się wczytać opcji napiwku. Spróbuj ponownie.
tipJar.errorPurchase	Zakup nie powiódł się. Spróbuj ponownie.
tipJar.pending	Oczekiwanie na zatwierdzenie. Opłata zostanie pobrana po zatwierdzeniu.
settings.sectionAccounts	Konta
settings.addAccount	Dodaj konto
settings.accountSignOut	Wyloguj
settings.accountSignOutTitle	Wylogować?
settings.accountSignOutMessage	Wylogować %@ na tym urządzeniu? Aby korzystać z tego konta, trzeba będzie zalogować się ponownie.
settings.accountLabel	%1$@, %2$@
settings.accountActiveLabel	%1$@, %2$@, aktywne konto
settings.badgeActive	Aktywne

# ---- offline ----
common.deselect	Odznacz
offline.sectionTitle	Offline
offline.settingsRow	Pobierz pliki do użytku offline
offline.footnote	Pobrane pliki otwierają się nawet bez połączenia.
offline.available	Dostępne offline: %@
offline.removeRow	Usuń pliki offline
offline.removeConfirmTitle	Usunąć pliki offline?
offline.removeConfirmMessage	Spowoduje to usunięcie plików zapisanych do użytku offline na tym urządzeniu. Pliki na serwerze pozostaną bez zmian.
offline.removeConfirm	Usuń
offline.preparing	Przygotowywanie…
offline.downloadingName	Pobieranie %@
offline.progressCount	%lld z %lld plików
offline.downloadFailed	Nie udało się ukończyć pobierania offline.
offline.selectionTitle	Pobierz do trybu offline
offline.selectionEmpty	Ten folder jest pusty.
offline.selectionLoadFailed	Nie udało się załadować tego folderu.
offline.selectionEstimate	Szacowane pobieranie
offline.selectionDownload	Pobierz
offline.selectionInsufficientSpace	Za mało wolnego miejsca na tym urządzeniu
offline.resyncRow	Zaktualizuj pliki offline
offline.badgeAvailable	Dostępne offline
offline.manageRow	Zarządzaj plikami offline
offline.manageTitle	Pliki offline
offline.manageEmpty	Nic nie zostało pobrane do użytku offline.
offline.preferOfflineToggle	Odtwarzaj pobrane kopie
offline.preferOfflineSubtitle	Używaj pobranego wideo zamiast strumieniowania, gdy jest dostępne.
offline.tunnelSpeedNote	Łączenie się z serwerem przez zdalny tunel może spowalniać pobieranie. W przypadku dużych plików połącz się z tą samą siecią i użyj lokalnego adresu serwera.
menu.rateApp	Oceń NextExplorer…
menu.support	Pomoc NextExplorer
settings.sectionSupport	Pomoc
settings.rowRateApp	Oceń NextExplorer
settings.rowSupport	Pomoc i wsparcie
