# NextExplorer — العربية (ar). key<TAB>value. لغة تُكتب من اليمين إلى اليسار.
common.cancel	إلغاء
favorites.accessibilityBadge	مفضّل
login.showPassword	إظهار كلمة المرور
login.hidePassword	إخفاء كلمة المرور
browse.breadcrumbHint	فتح هذا المجلد
login.serverInfoAccessibility	حول الاتصال بخادم
login.serverInfoTitle	ما هو الخادم؟
login.serverInfoBody	يتصل NextExplorer بخادم NextExplorer الخاص بك. يقوم المسؤول بتشغيل الخادم وإنشاء الحسابات ومشاركة عنوانه الإلكتروني معك. أدخل هذا العنوان لتسجيل الدخول.\n\nليس لديك خادم بعد؟ يوضح لك دليل الإعداد كيفية استضافة واحد.
login.serverInfoGuide	فتح دليل الإعداد
login.ssoButton	تسجيل الدخول عبر SSO
login.errorSso	لم تكتمل عملية الدخول الموحّد. يرجى المحاولة مرة أخرى.
common.syncCompleted	اكتملت المزامنة
settings.toggleShowTabLabels	إظهار تسميات علامات التبويب
login.orDivider	أو
login.errorNoAuthMethods	لا توجد طرق تسجيل دخول مفعّلة على هذا الخادم.
# Credits + tip jar
settings.creditsMadeBy	صُنع بـ ❤️ بواسطة Phillip Maizza
settings.creditsLikeApp	هل يعجبك التطبيق؟
settings.creditsBuyCoffee	ادعُني إلى قهوة ☕️
tipJar.title	ادعُني إلى قهوة
tipJar.explanation	NextExplorer مجاني ومفتوح المصدر. إذا كان مفيدًا لك، فإن إكرامية صغيرة تساعد على استمراره. شكرًا لك!
tipJar.toastThanks	شكرًا لدعمك المشروع! 🙏
tipJar.errorLoad	تعذّر تحميل خيارات الإكرامية. حاول مرة أخرى.
tipJar.errorPurchase	لم تتم عملية الشراء. حاول مرة أخرى.
tipJar.pending	في انتظار الموافقة. سيتم خصم المبلغ بمجرد الموافقة.
settings.sectionAccounts	الحسابات
settings.addAccount	إضافة حساب
settings.accountSignOut	تسجيل الخروج
settings.accountSignOutTitle	تسجيل الخروج؟
settings.accountSignOutMessage	تسجيل خروج %@ من هذا الجهاز؟ ستحتاج إلى تسجيل الدخول مرة أخرى لاستخدام هذا الحساب.
settings.accountLabel	%1$@, %2$@
settings.accountActiveLabel	%1$@, %2$@, الحساب النشط

# ---- offline ----
common.deselect	إلغاء التحديد
offline.sectionTitle	دون اتصال
offline.settingsRow	تنزيل الملفات للاستخدام دون اتصال
offline.footnote	تُفتح الملفات التي جرى تنزيلها حتى بدون اتصال.
offline.available	%@ متاحة دون اتصال
offline.removeRow	إزالة الملفات دون اتصال
offline.removeConfirmTitle	إزالة الملفات دون اتصال؟
offline.removeConfirmMessage	يؤدي هذا إلى حذف الملفات المحفوظة للاستخدام دون اتصال على هذا الجهاز. لن تتأثر ملفاتك على الخادم.
offline.removeConfirm	إزالة
offline.preparing	جارٍ التحضير…
offline.downloadingName	جارٍ تنزيل %@
offline.progressCount	%lld من %lld ملف
offline.downloadFailed	تعذّر إكمال التنزيل دون اتصال.
offline.selectionTitle	تنزيل للاستخدام دون اتصال
offline.selectionEmpty	هذا المجلد فارغ.
offline.selectionLoadFailed	تعذّر تحميل هذا المجلد.
offline.selectionEstimate	التنزيل المقدّر
offline.selectionDownload	تنزيل
offline.selectionInsufficientSpace	لا توجد مساحة خالية كافية على هذا الجهاز
offline.resyncRow	تحديث الملفات دون اتصال
offline.badgeAvailable	متاح دون اتصال
offline.manageRow	إدارة الملفات دون اتصال
offline.manageTitle	الملفات دون اتصال
offline.manageEmpty	لا يوجد شيء تم تنزيله للاستخدام دون اتصال.
offline.preferOfflineToggle	تشغيل النسخ التي جرى تنزيلها
offline.preferOfflineSubtitle	استخدم مقطع فيديو تم تنزيله بدلاً من البث عندما يكون متاحًا.
